1437882.AZRU01000031_gene87,rnpA,Ribonuclease&nbsp;P&nbsp;protein&nbsp;component,98.9
1437882.AZRU01000020_gene6154,AZRU01000020_gene6154,annotation&nbsp;not&nbsp;available,95.3
1437882.AZRU01000111_gene4951,AZRU01000111_gene4951,annotation&nbsp;not&nbsp;available,95.3
1437882.AZRU01000162_gene4996,AZRU01000162_gene4996,annotation&nbsp;not&nbsp;available,95.2
1437882.AZRU01000003_gene1709,AZRU01000003_gene1709,annotation&nbsp;not&nbsp;available,95.2
1437882.AZRU01000082_gene6826,AZRU01000082_gene6826,annotation&nbsp;not&nbsp;available,95.2
1437882.AZRU01000109_gene3116,AZRU01000109_gene3116,annotation&nbsp;not&nbsp;available,95.2
1437882.AZRU01000211_gene2678,AZRU01000211_gene2678,annotation&nbsp;not&nbsp;available,95.2
1437882.AZRU01000085_gene6787,AZRU01000085_gene6787,annotation&nbsp;not&nbsp;available,95.2
1437882.AZRU01000012_gene3549,AZRU01000012_gene3549,annotation&nbsp;not&nbsp;available,95.2
1437882.AZRU01000091_gene4862,AZRU01000091_gene4862,annotation&nbsp;not&nbsp;available,95.2
1437882.AZRU01000040_gene4721,AZRU01000040_gene4721,annotation&nbsp;not&nbsp;available,95.1
1437882.AZRU01000017_gene6365,AZRU01000017_gene6365,annotation&nbsp;not&nbsp;available,95.1
1437882.AZRU01000040_gene4669,AZRU01000040_gene4669,annotation&nbsp;not&nbsp;available,95.1
1437882.AZRU01000001_gene2080,AZRU01000001_gene2080,annotation&nbsp;not&nbsp;available,95.1
1437882.AZRU01000057_gene4216,AZRU01000057_gene4216,annotation&nbsp;not&nbsp;available,95.1
1437882.AZRU01000061_gene4080,AZRU01000061_gene4080,annotation&nbsp;not&nbsp;available,95.1
1437882.AZRU01000057_gene4227,AZRU01000057_gene4227,annotation&nbsp;not&nbsp;available,95.1
1437882.AZRU01000003_gene1780,AZRU01000003_gene1780,annotation&nbsp;not&nbsp;available,95.1
1437882.AZRU01000007_gene3048,AZRU01000007_gene3048,Serine&nbsp;hydroxymethyltransferase,95.1
1437882.AZRU01000051_gene5358,ccmB,Heme&nbsp;exporter&nbsp;protein&nbsp;B,95.1
1437882.AZRU01000002_gene2266,AZRU01000002_gene2266,Elongation&nbsp;factor&nbsp;G,95.0
1437882.AZRU01000103_gene3896,rpoB,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta,95.0
1437882.AZRU01000078_gene4027,AZRU01000078_gene4027,annotation&nbsp;not&nbsp;available,95.0
1437882.AZRU01000027_gene789,AZRU01000027_gene789,annotation&nbsp;not&nbsp;available,95.0
1437882.AZRU01000045_gene4756,AZRU01000045_gene4756,annotation&nbsp;not&nbsp;available,95.0
1437882.AZRU01000047_gene5098,AZRU01000047_gene5098,annotation&nbsp;not&nbsp;available,95.0
1437882.AZRU01000087_gene5617,asd,Aspartate-semialdehyde&nbsp;dehydrogenase,95.0
1437882.AZRU01000036_gene292,aceK,Isocitrate&nbsp;dehydrogenase&nbsp;kinase/phosphatase,95.0
1437882.AZRU01000009_gene940,AZRU01000009_gene940,annotation&nbsp;not&nbsp;available,94.9
1437882.AZRU01000012_gene3506,AZRU01000012_gene3506,annotation&nbsp;not&nbsp;available,94.9
1437882.AZRU01000010_gene629,AZRU01000010_gene629,annotation&nbsp;not&nbsp;available,94.9
1437882.AZRU01000022_gene6305,maiA,annotation&nbsp;not&nbsp;available,94.9
1437882.AZRU01000027_gene818,AZRU01000027_gene818,annotation&nbsp;not&nbsp;available,94.8
1437882.AZRU01000045_gene4774,AZRU01000045_gene4774,4-hydroxy-4-methyl-2-oxoglutarate&nbsp;aldolase,94.8
1437882.AZRU01000063_gene686,AZRU01000063_gene686,DNA-binding&nbsp;protein&nbsp;Fis,94.8
1437882.AZRU01000037_gene4419,AZRU01000037_gene4419,annotation&nbsp;not&nbsp;available,94.8
1437882.AZRU01000037_gene4431,hmuV,Hemin&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;HmuV,94.8
1437882.AZRU01000091_gene4867,speA,Biosynthetic&nbsp;arginine&nbsp;decarboxylase,94.8
1437882.AZRU01000055_gene3742,AZRU01000055_gene3742,annotation&nbsp;not&nbsp;available,94.8
1437882.AZRU01000021_gene6235,AZRU01000021_gene6235,annotation&nbsp;not&nbsp;available,94.8
1437882.AZRU01000002_gene2468,AZRU01000002_gene2468,annotation&nbsp;not&nbsp;available,94.8
1437882.AZRU01000013_gene6946,AZRU01000013_gene6946,annotation&nbsp;not&nbsp;available,94.8
1437882.AZRU01000042_gene4578,AZRU01000042_gene4578,annotation&nbsp;not&nbsp;available,94.8
1437882.AZRU01000003_gene1668,AZRU01000003_gene1668,annotation&nbsp;not&nbsp;available,94.8
1437882.AZRU01000018_gene6474,trpS,annotation&nbsp;not&nbsp;available,94.8
1437882.AZRU01000020_gene6115,AZRU01000020_gene6115,annotation&nbsp;not&nbsp;available,94.8
1437882.AZRU01000211_gene2559,AZRU01000211_gene2559,annotation&nbsp;not&nbsp;available,94.8
1437882.AZRU01000008_gene2872,AZRU01000008_gene2872,annotation&nbsp;not&nbsp;available,94.8
1437882.AZRU01000010_gene552,tolB,Protein&nbsp;TolB,94.7
1437882.AZRU01000001_gene2089,AZRU01000001_gene2089,annotation&nbsp;not&nbsp;available,94.7
1437882.AZRU01000023_gene5643,AZRU01000023_gene5643,annotation&nbsp;not&nbsp;available,94.7
1437882.AZRU01000046_gene5125,AZRU01000046_gene5125,annotation&nbsp;not&nbsp;available,94.7
1437882.AZRU01000020_gene6114,AZRU01000020_gene6114,annotation&nbsp;not&nbsp;available,94.7
1437882.AZRU01000037_gene4378,carB,annotation&nbsp;not&nbsp;available,94.7
1437882.AZRU01000001_gene2227,AZRU01000001_gene2227,annotation&nbsp;not&nbsp;available,94.7
1437882.AZRU01000029_gene207,AZRU01000029_gene207,annotation&nbsp;not&nbsp;available,94.6
1437882.AZRU01000049_gene5232,AZRU01000049_gene5232,annotation&nbsp;not&nbsp;available,94.6
1437882.AZRU01000118_gene4262,AZRU01000118_gene4262,annotation&nbsp;not&nbsp;available,94.6
1437882.AZRU01000034_gene421,AZRU01000034_gene421,annotation&nbsp;not&nbsp;available,94.6
1437882.AZRU01000036_gene302,AZRU01000036_gene302,annotation&nbsp;not&nbsp;available,94.6
1437882.AZRU01000023_gene5696,AZRU01000023_gene5696,annotation&nbsp;not&nbsp;available,94.6
1437882.AZRU01000041_gene4539,AZRU01000041_gene4539,annotation&nbsp;not&nbsp;available,94.6
1437882.AZRU01000043_gene4855,cyoA,annotation&nbsp;not&nbsp;available,94.6
1437882.AZRU01000001_gene2231,hisA,annotation&nbsp;not&nbsp;available,94.6
1437882.AZRU01000007_gene3012,AZRU01000007_gene3012,annotation&nbsp;not&nbsp;available,94.6
1437882.AZRU01000089_gene7020,AZRU01000089_gene7020,annotation&nbsp;not&nbsp;available,94.5
1437882.AZRU01000039_gene4608,AZRU01000039_gene4608,annotation&nbsp;not&nbsp;available,94.5
1437882.AZRU01000006_gene1577,AZRU01000006_gene1577,annotation&nbsp;not&nbsp;available,94.5
1437882.AZRU01000142_gene1236,cobJ,annotation&nbsp;not&nbsp;available,94.5
1437882.AZRU01000038_gene5494,grxD,annotation&nbsp;not&nbsp;available,94.4
1437882.AZRU01000103_gene3898,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,94.4
1437882.AZRU01000133_gene6709,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,94.4
1437882.AZRU01000012_gene3534,AZRU01000012_gene3534,annotation&nbsp;not&nbsp;available,94.3
1437882.AZRU01000099_gene1124,AZRU01000099_gene1124,annotation&nbsp;not&nbsp;available,94.3
1437882.AZRU01000083_gene6837,AZRU01000083_gene6837,annotation&nbsp;not&nbsp;available,94.3
1437882.AZRU01000004_gene1793,AZRU01000004_gene1793,annotation&nbsp;not&nbsp;available,94.3
1437882.AZRU01000022_gene6332,ssuC,annotation&nbsp;not&nbsp;available,94.3
1437882.AZRU01000040_gene4672,sdhB,annotation&nbsp;not&nbsp;available,94.3
1437882.AZRU01000062_gene1191,AZRU01000062_gene1191,annotation&nbsp;not&nbsp;available,94.3
1437882.AZRU01000003_gene1776,AZRU01000003_gene1776,annotation&nbsp;not&nbsp;available,94.3
1437882.AZRU01000013_gene6984,AZRU01000013_gene6984,NAD(P)&nbsp;transhydrogenase&nbsp;subunit&nbsp;beta,94.3
1437882.AZRU01000002_gene2362,AZRU01000002_gene2362,annotation&nbsp;not&nbsp;available,94.3
1437882.AZRU01000093_gene1274,AZRU01000093_gene1274,annotation&nbsp;not&nbsp;available,94.3
1437882.AZRU01000009_gene957,AZRU01000009_gene957,annotation&nbsp;not&nbsp;available,94.3
1437882.AZRU01000011_gene3586,AZRU01000011_gene3586,annotation&nbsp;not&nbsp;available,94.3
1437882.AZRU01000025_gene5917,AZRU01000025_gene5917,annotation&nbsp;not&nbsp;available,94.3
1437882.AZRU01000006_gene1507,AZRU01000006_gene1507,annotation&nbsp;not&nbsp;available,94.2
1437882.AZRU01000087_gene5606,AZRU01000087_gene5606,annotation&nbsp;not&nbsp;available,94.2
1437882.AZRU01000023_gene5664,paaJ,annotation&nbsp;not&nbsp;available,94.2
1437882.AZRU01000004_gene1934,AZRU01000004_gene1934,annotation&nbsp;not&nbsp;available,94.2
1437882.AZRU01000044_gene6633,AZRU01000044_gene6633,annotation&nbsp;not&nbsp;available,94.2
1437882.AZRU01000039_gene4639,AZRU01000039_gene4639,annotation&nbsp;not&nbsp;available,94.2
1437882.AZRU01000009_gene909,rnhA,Ribonuclease&nbsp;H,94.2
1437882.AZRU01000055_gene3741,AZRU01000055_gene3741,annotation&nbsp;not&nbsp;available,94.2
1437882.AZRU01000018_gene6537,AZRU01000018_gene6537,Nicotinate&nbsp;phosphoribosyltransferase,94.2
1437882.AZRU01000051_gene5384,AZRU01000051_gene5384,Peptide&nbsp;deformylase,94.2
1437882.AZRU01000121_gene4881,AZRU01000121_gene4881,annotation&nbsp;not&nbsp;available,94.1
1437882.AZRU01000003_gene1637,AZRU01000003_gene1637,annotation&nbsp;not&nbsp;available,94.1
1437882.AZRU01000036_gene319,AZRU01000036_gene319,annotation&nbsp;not&nbsp;available,94.1
1437882.AZRU01000001_gene2049,AZRU01000001_gene2049,annotation&nbsp;not&nbsp;available,94.1
1437882.AZRU01000001_gene2075,AZRU01000001_gene2075,annotation&nbsp;not&nbsp;available,94.1
1437882.AZRU01000005_gene1362,AZRU01000005_gene1362,annotation&nbsp;not&nbsp;available,94.0
1437882.AZRU01000007_gene2984,AZRU01000007_gene2984,Aconitate&nbsp;hydratase,94.0
1437882.AZRU01000099_gene1115,AZRU01000099_gene1115,annotation&nbsp;not&nbsp;available,93.9
1437882.AZRU01000025_gene5827,AZRU01000025_gene5827,annotation&nbsp;not&nbsp;available,93.9
1437882.AZRU01000211_gene2663,AZRU01000211_gene2663,annotation&nbsp;not&nbsp;available,93.9
1437882.AZRU01000079_gene3938,AZRU01000079_gene3938,annotation&nbsp;not&nbsp;available,93.9
1437882.AZRU01000001_gene2098,AZRU01000001_gene2098,annotation&nbsp;not&nbsp;available,93.9
1437882.AZRU01000010_gene614,AZRU01000010_gene614,annotation&nbsp;not&nbsp;available,93.9
1437882.AZRU01000093_gene1276,AZRU01000093_gene1276,Protein&nbsp;TonB,93.9
1437882.AZRU01000055_gene3740,AZRU01000055_gene3740,annotation&nbsp;not&nbsp;available,93.9
1437882.AZRU01000012_gene3523,AZRU01000012_gene3523,annotation&nbsp;not&nbsp;available,93.9
1437882.AZRU01000068_gene5035,AZRU01000068_gene5035,annotation&nbsp;not&nbsp;available,93.9
1437882.AZRU01000017_gene6426,AZRU01000017_gene6426,annotation&nbsp;not&nbsp;available,93.9
1437882.AZRU01000002_gene2429,AZRU01000002_gene2429,annotation&nbsp;not&nbsp;available,93.9
1437882.AZRU01000025_gene5915,AZRU01000025_gene5915,annotation&nbsp;not&nbsp;available,93.9
1437882.AZRU01000034_gene403,AZRU01000034_gene403,annotation&nbsp;not&nbsp;available,93.9
1437882.AZRU01000006_gene1557,secD,annotation&nbsp;not&nbsp;available,93.9
1437882.AZRU01000024_gene5756,AZRU01000024_gene5756,annotation&nbsp;not&nbsp;available,93.8
1437882.AZRU01000048_gene5189,AZRU01000048_gene5189,annotation&nbsp;not&nbsp;available,93.8
1437882.AZRU01000137_gene5624,AZRU01000137_gene5624,annotation&nbsp;not&nbsp;available,93.8
1437882.AZRU01000055_gene3733,AZRU01000055_gene3733,annotation&nbsp;not&nbsp;available,93.8
1437882.AZRU01000064_gene7068,AZRU01000064_gene7068,annotation&nbsp;not&nbsp;available,93.8
1437882.AZRU01000036_gene310,AZRU01000036_gene310,annotation&nbsp;not&nbsp;available,93.8
1437882.AZRU01000087_gene5618,AZRU01000087_gene5618,annotation&nbsp;not&nbsp;available,93.8
1437882.AZRU01000077_gene3993,AZRU01000077_gene3993,annotation&nbsp;not&nbsp;available,93.8
1437882.AZRU01000039_gene4632,AZRU01000039_gene4632,annotation&nbsp;not&nbsp;available,93.7
1437882.AZRU01000017_gene6443,AZRU01000017_gene6443,annotation&nbsp;not&nbsp;available,93.7
1437882.AZRU01000211_gene2505,AZRU01000211_gene2505,annotation&nbsp;not&nbsp;available,93.7
1437882.AZRU01000008_gene2854,AZRU01000008_gene2854,annotation&nbsp;not&nbsp;available,93.7
1437882.AZRU01000052_gene3814,AZRU01000052_gene3814,annotation&nbsp;not&nbsp;available,93.7
1437882.AZRU01000055_gene3752,AZRU01000055_gene3752,annotation&nbsp;not&nbsp;available,93.7
1437882.AZRU01000037_gene4420,AZRU01000037_gene4420,annotation&nbsp;not&nbsp;available,93.7
1437882.AZRU01000017_gene6391,AZRU01000017_gene6391,annotation&nbsp;not&nbsp;available,93.7
1437882.AZRU01000076_gene1161,AZRU01000076_gene1161,annotation&nbsp;not&nbsp;available,93.6
1437882.AZRU01000006_gene1494,AZRU01000006_gene1494,annotation&nbsp;not&nbsp;available,93.6
1437882.AZRU01000013_gene6904,AZRU01000013_gene6904,Trk&nbsp;system&nbsp;potassium&nbsp;uptake&nbsp;protein,93.6
1437882.AZRU01000014_gene3225,AZRU01000014_gene3225,annotation&nbsp;not&nbsp;available,93.6
1437882.AZRU01000006_gene1588,leuA,annotation&nbsp;not&nbsp;available,93.6
1437882.AZRU01000068_gene5009,AZRU01000068_gene5009,annotation&nbsp;not&nbsp;available,93.5
1437882.AZRU01000022_gene6273,AZRU01000022_gene6273,annotation&nbsp;not&nbsp;available,93.5
1437882.AZRU01000052_gene3827,AZRU01000052_gene3827,annotation&nbsp;not&nbsp;available,93.5
1437882.AZRU01000001_gene2117,AZRU01000001_gene2117,annotation&nbsp;not&nbsp;available,93.5
1437882.AZRU01000040_gene4705,AZRU01000040_gene4705,annotation&nbsp;not&nbsp;available,93.5
1437882.AZRU01000046_gene5149,AZRU01000046_gene5149,annotation&nbsp;not&nbsp;available,93.5
1437882.AZRU01000002_gene2367,AZRU01000002_gene2367,annotation&nbsp;not&nbsp;available,93.5
1437882.AZRU01000054_gene3689,AZRU01000054_gene3689,annotation&nbsp;not&nbsp;available,93.5
1437882.AZRU01000158_gene4334,AZRU01000158_gene4334,annotation&nbsp;not&nbsp;available,93.5
1437882.AZRU01000046_gene5121,AZRU01000046_gene5121,annotation&nbsp;not&nbsp;available,93.5
1437882.AZRU01000005_gene1355,AZRU01000005_gene1355,annotation&nbsp;not&nbsp;available,93.4
1437882.AZRU01000054_gene3701,accA,annotation&nbsp;not&nbsp;available,93.4
1437882.AZRU01000211_gene2634,AZRU01000211_gene2634,annotation&nbsp;not&nbsp;available,93.4
1437882.AZRU01000046_gene5143,ubiD,3-octaprenyl-4-hydroxybenzoate&nbsp;carboxy-lyase,93.3
1437882.AZRU01000001_gene2096,AZRU01000001_gene2096,annotation&nbsp;not&nbsp;available,93.3
1437882.AZRU01000004_gene1808,AZRU01000004_gene1808,annotation&nbsp;not&nbsp;available,93.3
1437882.AZRU01000008_gene2894,gcl,annotation&nbsp;not&nbsp;available,93.3
1437882.AZRU01000001_gene2039,AZRU01000001_gene2039,annotation&nbsp;not&nbsp;available,93.3
1437882.AZRU01000078_gene4034,AZRU01000078_gene4034,annotation&nbsp;not&nbsp;available,93.3
1437882.AZRU01000011_gene3629,AZRU01000011_gene3629,annotation&nbsp;not&nbsp;available,93.3
1437882.AZRU01000003_gene1785,AZRU01000003_gene1785,annotation&nbsp;not&nbsp;available,93.3
1437882.AZRU01000075_gene4442,kdsB,3-deoxy-manno-octulosonate&nbsp;cytidylyltransferase,93.3
1437882.AZRU01000069_gene2780,hisG,ATP&nbsp;phosphoribosyltransferase,93.2
1437882.AZRU01000133_gene6713,rpsC,30S&nbsp;ribosomal&nbsp;protein&nbsp;S3,93.2
1437882.AZRU01000033_gene475,AZRU01000033_gene475,annotation&nbsp;not&nbsp;available,93.2
1437882.AZRU01000050_gene5331,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;B,93.2
1437882.AZRU01000021_gene6196,AZRU01000021_gene6196,annotation&nbsp;not&nbsp;available,93.2
1437882.AZRU01000042_gene4587,AZRU01000042_gene4587,annotation&nbsp;not&nbsp;available,93.2
1437882.AZRU01000093_gene1261,AZRU01000093_gene1261,Adenine&nbsp;deaminase,93.2
1437882.AZRU01000023_gene5706,AZRU01000023_gene5706,annotation&nbsp;not&nbsp;available,93.2
1437882.AZRU01000024_gene5752,fabV,Enoyl-[acyl-carrier-protein]&nbsp;reductase&nbsp;[NADH],93.1
1437882.AZRU01000012_gene3478,AZRU01000012_gene3478,Spermidine/putrescine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PotA,93.1
1437882.AZRU01000080_gene3987,AZRU01000080_gene3987,Cell&nbsp;division&nbsp;protein&nbsp;FtsX,93.1
1437882.AZRU01000017_gene6458,cobM,annotation&nbsp;not&nbsp;available,93.1
1437882.AZRU01000002_gene2264,AZRU01000002_gene2264,annotation&nbsp;not&nbsp;available,93.1
1437882.AZRU01000008_gene2836,AZRU01000008_gene2836,annotation&nbsp;not&nbsp;available,93.1
1437882.AZRU01000068_gene5031,AZRU01000068_gene5031,annotation&nbsp;not&nbsp;available,93.1
1437882.AZRU01000028_gene753,AZRU01000028_gene753,annotation&nbsp;not&nbsp;available,93.1
1437882.AZRU01000211_gene2662,AZRU01000211_gene2662,annotation&nbsp;not&nbsp;available,93.1
1437882.AZRU01000003_gene1701,AZRU01000003_gene1701,annotation&nbsp;not&nbsp;available,93.0
1437882.AZRU01000005_gene1390,AZRU01000005_gene1390,annotation&nbsp;not&nbsp;available,93.0
1437882.AZRU01000067_gene5421,AZRU01000067_gene5421,annotation&nbsp;not&nbsp;available,93.0
1437882.AZRU01000002_gene2374,AZRU01000002_gene2374,annotation&nbsp;not&nbsp;available,93.0
1437882.AZRU01000004_gene1872,AZRU01000004_gene1872,annotation&nbsp;not&nbsp;available,93.0
1437882.AZRU01000069_gene2801,AZRU01000069_gene2801,annotation&nbsp;not&nbsp;available,93.0
1437882.AZRU01000078_gene4026,AZRU01000078_gene4026,annotation&nbsp;not&nbsp;available,93.0
1437882.AZRU01000046_gene5153,AZRU01000046_gene5153,annotation&nbsp;not&nbsp;available,92.9
1437882.AZRU01000095_gene1253,AZRU01000095_gene1253,Sensor&nbsp;protein,92.9
1437882.AZRU01000114_gene4958,AZRU01000114_gene4958,annotation&nbsp;not&nbsp;available,92.9
1437882.AZRU01000004_gene1941,AZRU01000004_gene1941,annotation&nbsp;not&nbsp;available,92.9
1437882.AZRU01000002_gene2419,AZRU01000002_gene2419,annotation&nbsp;not&nbsp;available,92.9
1437882.AZRU01000002_gene2395,AZRU01000002_gene2395,annotation&nbsp;not&nbsp;available,92.9
1437882.AZRU01000016_gene3304,xdhA,annotation&nbsp;not&nbsp;available,92.8
1437882.AZRU01000117_gene4313,AZRU01000117_gene4313,annotation&nbsp;not&nbsp;available,92.8
1437882.AZRU01000121_gene4884,kdpA,Potassium-transporting&nbsp;ATPase&nbsp;potassium-binding&nbsp;subunit,92.8
1437882.AZRU01000017_gene6373,AZRU01000017_gene6373,annotation&nbsp;not&nbsp;available,92.8
1437882.AZRU01000033_gene474,AZRU01000033_gene474,annotation&nbsp;not&nbsp;available,92.8
1437882.AZRU01000041_gene4478,AZRU01000041_gene4478,annotation&nbsp;not&nbsp;available,92.8
1437882.AZRU01000009_gene949,AZRU01000009_gene949,annotation&nbsp;not&nbsp;available,92.7
1437882.AZRU01000097_gene1088,AZRU01000097_gene1088,annotation&nbsp;not&nbsp;available,92.7
1437882.AZRU01000063_gene676,urtE,annotation&nbsp;not&nbsp;available,92.7
1437882.AZRU01000023_gene5651,AZRU01000023_gene5651,annotation&nbsp;not&nbsp;available,92.7
1437882.AZRU01000052_gene3858,rpsR,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18,92.7
1437882.AZRU01000036_gene312,AZRU01000036_gene312,annotation&nbsp;not&nbsp;available,92.6
1437882.AZRU01000044_gene6643,AZRU01000044_gene6643,annotation&nbsp;not&nbsp;available,92.6
1437882.AZRU01000004_gene1907,AZRU01000004_gene1907,annotation&nbsp;not&nbsp;available,92.6
1437882.AZRU01000024_gene5820,AZRU01000024_gene5820,annotation&nbsp;not&nbsp;available,92.6
1437882.AZRU01000071_gene2763,AZRU01000071_gene2763,annotation&nbsp;not&nbsp;available,92.6
1437882.AZRU01000037_gene4421,AZRU01000037_gene4421,annotation&nbsp;not&nbsp;available,92.6
1437882.AZRU01000015_gene3375,AZRU01000015_gene3375,annotation&nbsp;not&nbsp;available,92.6
1437882.AZRU01000018_gene6501,AZRU01000018_gene6501,annotation&nbsp;not&nbsp;available,92.6
1437882.AZRU01000010_gene627,AZRU01000010_gene627,annotation&nbsp;not&nbsp;available,92.6
1437882.AZRU01000083_gene6842,AZRU01000083_gene6842,annotation&nbsp;not&nbsp;available,92.6
1437882.AZRU01000055_gene3743,AZRU01000055_gene3743,annotation&nbsp;not&nbsp;available,92.6
1437882.AZRU01000048_gene5194,AZRU01000048_gene5194,annotation&nbsp;not&nbsp;available,92.5
1437882.AZRU01000052_gene3855,AZRU01000052_gene3855,annotation&nbsp;not&nbsp;available,92.5
1437882.AZRU01000012_gene3547,AZRU01000012_gene3547,annotation&nbsp;not&nbsp;available,92.5
1437882.AZRU01000019_gene6054,tkt,Transketolase,92.5
1437882.AZRU01000026_gene6005,AZRU01000026_gene6005,annotation&nbsp;not&nbsp;available,92.5
1437882.AZRU01000016_gene3293,AZRU01000016_gene3293,annotation&nbsp;not&nbsp;available,92.4
1437882.AZRU01000083_gene6854,AZRU01000083_gene6854,annotation&nbsp;not&nbsp;available,92.4
1437882.AZRU01000004_gene1957,AZRU01000004_gene1957,annotation&nbsp;not&nbsp;available,92.4
1437882.AZRU01000095_gene1239,AZRU01000095_gene1239,annotation&nbsp;not&nbsp;available,92.4
1437882.AZRU01000037_gene4377,AZRU01000037_gene4377,annotation&nbsp;not&nbsp;available,92.4
1437882.AZRU01000015_gene3411,AZRU01000015_gene3411,annotation&nbsp;not&nbsp;available,92.4
1437882.AZRU01000016_gene3323,AZRU01000016_gene3323,annotation&nbsp;not&nbsp;available,92.4
1437882.AZRU01000007_gene3040,AZRU01000007_gene3040,annotation&nbsp;not&nbsp;available,92.4
1437882.AZRU01000010_gene602,AZRU01000010_gene602,annotation&nbsp;not&nbsp;available,92.3
1437882.AZRU01000018_gene6467,cysC,Multifunctional&nbsp;fusion&nbsp;protein,92.3
1437882.AZRU01000012_gene3525,AZRU01000012_gene3525,annotation&nbsp;not&nbsp;available,92.3
1437882.AZRU01000046_gene5114,AZRU01000046_gene5114,annotation&nbsp;not&nbsp;available,92.2
1437882.AZRU01000101_gene4474,AZRU01000101_gene4474,annotation&nbsp;not&nbsp;available,92.2
1437882.AZRU01000056_gene3778,AZRU01000056_gene3778,annotation&nbsp;not&nbsp;available,92.2
